time_stamp	px_state	py_state	v_state	sensor_type	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth	yaw_ground_truth	yaw_rate_ground_truth	rmse_x	rmse_y	rmse_vx	rmse_vy
1477010444500000	8.3156	0.834994	4.95946	lidar	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843	0.158735	0.208879	0.115512	0.0860211	1.34993	0.817213
1477010444550000	8.58966	0.92518	5.25875	radar	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226	0.169179	0.215255	0.113724	0.087962	1.32901	0.80695
1477010444600000	8.83257	0.985378	5.23235	lidar	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037	0.179942	0.221599	0.112074	0.089076	1.30897	0.796549
1477010444650000	9.12498	1.02382	5.28124	radar	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245	0.191022	0.227907	0.110443	0.0904711	1.29006	0.787093
1477010444700000	9.36589	1.05535	5.24323	lidar	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082	0.202417	0.234179	0.108856	0.0925611	1.27187	0.778804
1477010444750000	9.64723	1.12928	5.30839	radar	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873	0.214126	0.240414	0.107489	0.0936496	1.25477	0.770042
1477010444800000	9.9269	1.26203	5.37143	lidar	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794	0.226147	0.246611	0.106553	0.0927282	1.23859	0.759898
1477010444850000	10.1723	1.34414	5.13122	radar	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841	0.238478	0.252769	0.1056	0.0915969	1.22221	0.750152
1477010444900000	10.3932	1.4237	5.09112	lidar	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701	0.251116	0.258887	0.104375	0.0904249	1.20644	0.740724
1477010444950000	10.6232	1.49403	4.86579	radar	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298	0.26406	0.264964	0.103094	0.0892889	1.1917	0.731923
1477010445000000	10.841	1.51955	4.81771	lidar	10.7313	1.45265	10.853	1.56549	4.90794	1.39701	0.277309	0.271	0.101846	0.0884846	1.17754	0.724719
1477010445050000	11.1124	1.56198	5.00133	radar	11.4783	1.42876	11.0979	1.637	4.8844	1.46213	0.290859	0.276993	0.100651	0.0881879	1.16344	0.718806
1477010445100000	11.3948	1.60813	5.0653	lidar	11.587	1.61462	11.3416	1.71179	4.85948	1.52832	0.304708	0.282942	0.0998046	0.0885785	1.14993	0.714445
1477010445150000	11.6263	1.64921	4.96367	radar	11.4763	1.53917	11.584	1.78992	4.83313	1.59551	0.318855	0.288846	0.0988693	0.0900991	1.1368	0.712081
1477010445200000	11.853	1.71884	4.94327	lidar	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366	0.333298	0.294705	0.0978532	0.0919509	1.1241	0.710029
1477010445250000	12.1137	1.80258	5.12242	radar	12.136	2.14937	12.0647	1.95639	4.77598	1.73273	0.348033	0.300517	0.0970527	0.093731	1.11227	0.707433
1477010445300000	12.3589	1.83318	5.1025	lidar	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265	0.363059	0.306282	0.0963617	0.0977324	1.10094	0.707746
1477010445350000	12.6185	1.8819	5.20646	radar	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338	0.378373	0.311998	0.0960336	0.10347	1.0908	0.709683
1477010445400000	12.819	2.03381	5.16041	lidar	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485	0.393973	0.317665	0.0952623	0.10626	1.08047	0.707497
1477010445450000	13.0899	2.14095	5.33733	radar	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701	0.409856	0.323282	0.0950228	0.108585	1.07182	0.704546
1477010445500000	13.2968	2.29544	5.30582	lidar	13.0875	2.40708	13.2388	2.43409	4.605	2.08981	0.42602	0.328848	0.0944363	0.109253	1.06289	0.699716
1477010445550000	13.4717	2.42145	4.942	radar	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317	0.442462	0.334362	0.0935252	0.109449	1.05264	0.695022
1477010445600000	13.7205	2.54837	5.00334	lidar	13.836	2.62479	13.6955	2.65053	4.52448	2.23703	0.459181	0.339823	0.092702	0.109316	1.04278	0.690211
1477010445650000	13.9416	2.6467	4.95325	radar	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134	0.476172	0.34523	0.0918833	0.109475	1.03317	0.686264
1477010445700000	14.1694	2.81494	5.01692	lidar	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601	0.493433	0.350583	0.0911093	0.108849	1.02388	0.681227
1477010445750000	14.423	2.92158	5.18822	radar	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099	0.510962	0.355881	0.0906285	0.108421	1.01577	0.676725
1477010445800000	14.6314	2.99059	5.10986	lidar	14.4616	2.90734	14.583	3.12802	4.34097	2.5362	0.528756	0.361122	0.0900587	0.108996	1.0079	0.674248
1477010445850000	14.8655	3.13917	5.20763	radar	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157	0.546812	0.366307	0.0897064	0.109151	1.00091	0.671031
1477010445900000	15.0776	3.34855	5.26771	lidar	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703	0.565128	0.371433	0.0893498	0.108352	0.993994	0.666129
1477010445950000	15.2903	3.4953	5.09816	radar	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249	0.583699	0.376501	0.0890291	0.107517	0.986333	0.661656
